Address,School of Economics and Development Legon,School of Engineering Legon,School of performing Arts new building legon,Univiersity of Ghana Business School Legon,Faculty of Arts Legon,School of information and communication studies Legon,School of Agriculture Legon,School of Engineering Sciences Legon,School of Nursing and Midwifery Legon,School of Law Legon,School of Pharmacy Legon,School of Social Sciences Legon,School of Vetenary Medicine Legon,School of Graduate Studies Legon,School of Languages Legon,School of continuing and distance education Legon,Commonwealth Hall Legon,The Great Hall Legon,ISSER Conference Hall Legon,Cedi Conference Centre Legon,Legon Hall Legon,Jubliee Hall Legon,Legon Hall Annex A Legon,Legon Hall Annex B Legon,Legon Hall Annex C Legon,Akuafo Hall Legon,Akuafo Hall Annex A Legon,Akuafo Hall Annex B Legon,Akuafo Hall Annex C Legon,Mensah Sarbah Legon,Mensah Sarbah Annex C Legon,Volta Hall Legon,Liman Hall Legon,Kwapong Hall Legon,Jean Nelson Legon,Frances Sey Legon,Pentagon Block A Legon,Pentagon Block B Legon,Pentagon Block C Legon,Union Hostel Legon,Jubliee Hall Legon,Valco Trust Hostel Legon,International Student Hostel Legon,International Student Hostel 2 Legon,Bani Hostel Legon,Evandy Hostel Legon,Teachers Fund Hostel Legon,Addis-Ababa Court Legon,Kampala Court Legon,Nairobi Court Legon,University of Ghana Hospital Legon,University of Ghana Teaching Hospital Legon,University Hospital Legon,College of Humanities Legon,College of Basic And Applied Sciences Legon,College of Education Legon,Department of Computer Science Legon,Department of Economics Legon,Department of Geography and Resource Development Legon,Department of Animal Biology and Conservation Science Legon,Department of History Legon,Department of Adult Education and Human Resource Studies Legon,Department of Political Science Legon,Department of Economics Conference Facility Legon,Department of English Legon,Department of Psychology Legon,Department of Animal Science Legon,Department of Soil Science Legon,Department of Physics Legon,Sociology Department Legon,Chemistry Department Legon,Department of Agriculture Economics and Agribusiness Legon,Department of Family and Consumer Science Legon,Department of Philosophy and Classics Legon,Department for the Study of Religions Legon,Department of Mathematics and Statistics Legon,Department of Educational Studies and Leadership Legon,Department of Music Legon,Department of Crop Science Legon,Department of Earth Science Legon,Department of Botany Legon,Department of Linguistics Legon,Department of Nutritionn and Food Science Legon,Department of Archaeology Legon,Department of Animal Science Legon,Department of Biochemistry Legon,Department of Marine and Fisheries Sciences Legon,Conficius Institue Legon,Institute of Applied Sciece & Technology Legon,Institute of African studies Legon,New Institute of African Studies Legon,Institute of Statistical Social and Economic Research Legon,Maison Francaise Legon,GCB Lecture Building Legon,JQB Legon,K.A. Busia building Legon,Student Representative Council Builidng Legon,New N Block Legon,N Block Legon,Athletic Oval Legon,Sarbah Field Legon,University Basic School Legon,Balme Library Legon,Night Market Legon,UG Banking Square Legon,University of Ghana Sports Stadium Legon,University of Ghana Registry Legon,Bush Canteen Legon,Central Mosque Legon,University of Ghana Swimming Pool Legon,Taxi Station Legon,University of Ghana Sports Directorate Legon,Ayax Park Legon,Ajax 2 Legon,Bank of Ghana Audiotorium Legon,International Programmes Office Legon,University of Ghana Bookshop Legon,Caregie Writing Centre Legon,Basketball courts Legon,Recreational Quandrangle Legon
School of Pharmacy Legon,0.291011584,0.729648923,0.911752751,1.387978187,0.375122487,0.915520876,0.741607921,0.7062786,0.116352701,0.662612332,0,0.25028668,0.830611426,0.18754166,0.548272158,0.962994105,0.445085582,0.86045976,0.571737889,0.294362989,0.45766635,1.554311459,0.677423493,0.791508224,0.736745411,0.558986274,0.787434645,0.884460194,0.84338054,0.847130966,1.049715735,0.262064668,1.915384564,1.891404364,2.093026041,9.834415184,0.970001954,0.970001954,1.045036872,1.853105144,1.554311459,1.11762817,1.616814853,0.715396586,1.460994592,5.600504095,1.584427699,0.826611716,0.878567965,1.002215481,0.621328236,0.394555416,1.293686434,0.694171377,0.752494204,0.814804064,0.596746234,0.373875341,0.740949749,0.238163771,0.416253582,0.94655965,0.328282444,0.291506954,0.406353939,0.302425876,0.81631586,0.64273716,0.451253403,0.457195527,0.425262147,0.787527046,0.712719245,0.352837634,0.343545956,0.53151698,0.900588015,1.087050433,0.653676071,0.66032337,0.33703217,0.553106086,0.060227866,0.915301162,0.81631586,0.094213199,0.092808056,0.595134072,0.370955577,1.04216687,1.04216687,0.54182278,0.552732085,0.152816566,0.834514271,0.712738414,0.798784381,0.267656685,0.267656685,0.682816848,0.898968957,1.267235928,0.32910713,1.40336143,1.308349907,1.951085996,0.801892324,1.120273741,1.493211182,1.762579248,1.845452396,1.807167299,1.620611624,1.620611624,0.294362989,0.801165719,0.436671568,0.45967634,2.048950843,0.263179487
School of Social Sciences Legon,0.402288607,0.484338406,0.800449339,1.14003686,0.481377776,0.757185847,0.668756267,0.472225801,0.366441223,0.452272507,0.25028668,0,0.730377147,0.437717359,0.716061096,0.822183704,0.67584744,1.110508673,0.335706382,0.410622403,0.581309284,1.641591789,0.800345964,0.914987338,0.874161624,0.544419026,0.815693629,0.925189208,0.870930191,0.930384573,1.097485302,0.468579728,1.99059165,1.983706962,2.215201606,9.920163527,0.721733762,0.721733762,0.794757555,2.095803802,1.641591789,1.204374479,1.688543254,0.556057003,1.221431882,5.714776532,1.377027025,0.581608568,0.633323102,0.759372085,0.774324012,0.334489276,1.124138904,0.541027574,0.676443317,0.627868766,0.378571283,0.445239266,0.633557585,0.147460909,0.588489395,0.793593347,0.094457271,0.40848839,0.587421538,0.056255097,0.732508131,0.596680469,0.421168728,0.648118601,0.300745321,0.717818635,0.647287355,0.462764701,0.475397112,0.338947611,0.71608628,0.977089722,0.612367351,0.575073074,0.180527904,0.720424537,0.229890817,0.750263793,0.732508131,0.243842097,0.20108769,0.759594342,0.263578468,0.935914338,0.935914338,0.325149481,0.638145873,0.120732833,0.669379926,0.538692447,0.899438913,0.12961954,0.12961954,0.759770401,1.025611801,1.381239565,0.33926185,1.478307794,1.379184039,1.951891358,1.051857959,1.035801851,1.550669591,1.792736598,1.820403051,1.824583783,1.595172119,1.595172119,0.410622403,0.603165714,0.456589128,0.478860279,2.17328329,0.236492156
School of Vetenary Medicine Legon,0.62542038,0.652342478,0.086102145,1.080800883,0.597245191,0.226204418,0.115230108,0.555687027,0.903688267,0.440053567,0.830611426,0.730377147,0,0.949283701,0.776411517,0.191201876,0.965491367,1.497596029,0.572567289,0.631144084,0.628944104,1.173087482,0.679239319,0.734064352,0.755900228,0.327705573,0.411082109,0.493158971,0.429330982,0.620688602,0.619597865,0.79947233,1.462300117,1.498638058,1.797727856,9.335864228,0.967697073,0.967697073,0.925915842,2.523941604,1.173087482,0.808162737,1.1747583,0.243377998,1.461845317,5.206006653,1.783995537,0.678467493,0.702565473,0.733960372,0.7568137,0.436130563,0.536931222,0.236748821,0.101951014,0.325114031,0.488096604,0.542820696,0.097146739,0.618788076,0.746910507,0.22054419,0.655350144,0.632912749,0.769066132,0.696167259,0.055120968,0.226653089,0.390379079,0.81671636,0.431031982,0.103172221,0.147865926,0.607752661,0.647572286,0.440209726,0.328506274,0.256506763,0.228298288,0.171066766,0.550211244,0.776776973,0.770668325,0.252032107,0.055120968,0.897936513,0.739313869,0.784667988,0.476450116,0.211601013,0.211601013,0.50210114,0.539643755,0.815872861,0.236251577,0.292273036,0.657075292,0.858935174,0.858935174,0.535180835,0.808003477,1.028268973,0.513243286,0.99696331,0.901863662,1.281832272,1.402894583,0.306325253,1.015699541,1.178667912,1.121011838,1.18549849,0.901219908,0.901219908,0.631144084,0.373167218,0.445832565,0.431847206,1.764766152,0.568117253
School of Graduate Studies Legon,0.337553235,0.916174774,1.033899026,1.575009824,0.40122732,1.062738936,0.848693878,0.889292631,0.071285764,0.837660078,0.18754166,0.437717359,0.949283701,0,0.481367324,1.100020253,0.30025131,0.67292005,0.756139179,0.335171572,0.450379509,1.521388471,0.644837365,0.750562716,0.685932221,0.644756471,0.825606364,0.907879847,0.878851282,0.838497798,1.060681135,0.202739099,1.887481652,1.849972073,2.025053681,9.782030776,1.155657337,1.155657337,1.232458748,1.670466156,1.521388471,1.094921399,1.595499731,0.868160171,1.640421954,5.528624591,1.743025501,1.01292778,1.064907222,1.187566045,0.56351311,0.525533486,1.441397627,0.844802813,0.860864365,0.977699292,0.775492657,0.429495477,0.867164431,0.409021192,0.36306531,1.090372409,0.514644149,0.332676774,0.343741861,0.489910836,0.926218804,0.740324228,0.558941632,0.372915151,0.579327662,0.890488413,0.817097053,0.381306335,0.353432395,0.703269473,1.06094237,1.203884885,0.747624991,0.778861738,0.509215187,0.486219353,0.223081578,1.065905823,0.926218804,0.226984304,0.260844855,0.527291085,0.524560826,1.157865359,1.157865359,0.720964711,0.566367054,0.333243115,0.986851474,0.872129497,0.778002269,0.438811956,0.438811956,0.6904613,0.849590774,1.217358895,0.436549703,1.383180775,1.293536444,1.979815647,0.615659753,1.220901057,1.485264896,1.771587589,1.894078377,1.825212341,1.67238939,1.67238939,0.335171572,0.969161582,0.516447589,0.536265535,1.9795239,0.406171688
School of Languages Legon,0.3189082,1.074578624,0.858190624,1.700525283,0.257827909,0.969857386,0.661352686,1.007830166,0.502362062,0.907466313,0.548272158,0.716061096,0.776411517,0.481367324,0,0.964763596,0.265081084,0.752886219,0.907961836,0.30958989,0.168533377,1.041832088,0.184865658,0.274377587,0.206055716,0.462300066,0.466836031,0.50654818,0.505217201,0.391575153,0.626379375,0.292690332,1.408582457,1.368670901,1.549872512,9.302536721,1.383808396,1.383808396,1.417911479,1.763108521,1.041832088,0.623270263,1.12012846,0.828780768,1.905845201,5.056725227,2.092400177,1.157625858,1.205303611,1.302371951,0.083569231,0.526918732,1.313299591,0.801904106,0.674535512,0.962633778,0.879188016,0.318839931,0.7342912,0.589993011,0.132285667,0.980941089,0.738375855,0.311276392,0.143081364,0.742183886,0.7310282,0.55495397,0.478345652,0.111740646,0.626298037,0.682097394,0.629475642,0.268731771,0.244512223,0.782954095,1.022791535,0.990748039,0.549769064,0.643477362,0.650419664,0.004914645,0.520240619,0.98586367,0.7310282,0.63845571,0.531161738,0.047110674,0.593369719,0.946250796,0.946250796,0.837873422,0.23727782,0.677874614,0.925056839,0.859125245,0.319912735,0.794202822,0.794202822,0.295866199,0.368615259,0.736015646,0.436862217,0.909766144,0.824583546,1.545147844,0.650156515,0.959591874,1.019203727,1.317318641,1.489114811,1.379814231,1.277840975,1.277840975,0.30958989,0.979979266,0.389604464,0.387928801,1.505069318,0.512654668
School of continuing and distance education Legon,0.790735381,0.619774459,0.124621856,0.935314417,0.772848325,0.09413877,0.304308426,0.528906168,1.048098762,0.437534804,0.962994105,0.822183704,0.191201876,1.100020253,0.964763596,0,1.14352451,1.675775348,0.590253124,0.797489086,0.813139206,1.305219335,0.87039791,0.923124447,0.946666805,0.508605462,0.595311694,0.667313215,0.606972161,0.803935752,0.774489404,0.966363145,1.568093897,1.618019718,1.930734485,9.390032689,0.901947124,0.901947124,0.835556618,2.703716228,1.305219335,0.970650538,1.292894457,0.268302799,1.363566474,5.293689492,1.717030486,0.618018232,0.628768563,0.627847532,0.947439811,0.574971117,0.352155375,0.281230619,0.291417048,0.260839973,0.505582928,0.714451837,0.239636206,0.734596156,0.928169741,0.057357912,0.735927861,0.798942675,0.949391286,0.778847878,0.243085882,0.410632962,0.549535566,0.999831005,0.541000426,0.293079065,0.33547353,0.78104227,0.821430348,0.493586836,0.21276836,0.195809547,0.415004801,0.333692524,0.650093402,0.965311946,0.9047312,0.121141724,0.243085882,1.019362484,0.870199059,0.974501572,0.593597874,0.17784132,0.17784132,0.538072621,0.728834444,0.922873598,0.173571741,0.297715593,0.844511966,0.944764421,0.944764421,0.726000875,0.993377122,1.190804555,0.665762126,1.131285408,1.041202442,1.318774733,1.583292995,0.309870282,1.131867261,1.254361722,1.134516359,1.246575469,0.928095153,0.928095153,0.797489086,0.312587001,0.617333008,0.606483106,1.900425364,0.701436599
Commonwealth Hall Legon,0.370923714,1.115611368,1.05102347,1.769354231,0.370880717,1.130362584,0.852029699,1.067803902,0.352439028,0.988695596,0.445085582,0.67584744,0.965491367,0.30025131,0.265081084,1.14352451,0,0.532378018,0.946959795,0.362023687,0.345126008,1.282141374,0.449919209,0.531320812,0.45956374,0.637794951,0.715862363,0.767451085,0.759558291,0.656607624,0.891460309,0.216033011,1.648856043,1.597972598,1.749073496,9.509774948,1.392487001,1.392487001,1.451104709,1.560230957,1.282141374,0.878627229,1.367949826,0.959961406,1.897276212,5.244959345,2.029024625,1.20801631,1.259022393,1.371344545,0.343810821,0.616187446,1.495631106,0.933578409,0.865364693,1.08725233,0.942037231,0.431620786,0.904337891,0.591372401,0.221962473,1.149012894,0.72995593,0.361545799,0.19809793,0.718268298,0.927851756,0.739010951,0.604396902,0.166427381,0.702384644,0.882558902,0.818758094,0.364427285,0.324016257,0.853367351,1.159982499,1.201482787,0.739120497,0.810128069,0.679450412,0.268690962,0.447113026,1.141093238,0.927851756,0.514180737,0.474927642,0.298989636,0.654909892,1.155528879,1.155528879,0.892021878,0.459315811,0.596956999,1.070214514,0.979026143,0.584297749,0.712739022,0.712739022,0.55016484,0.612150405,0.965947137,0.512654166,1.161122356,1.080337443,1.809418717,0.440989396,1.187287547,1.275759489,1.578062139,1.753766656,1.642687496,1.541362754,1.541362754,0.362023687,1.092805046,0.527391787,0.53708413,1.702686334,0.543394906
The Great Hall Legon,0.894395193,1.587601899,1.582964479,2.246961687,0.902942836,1.660612126,1.383776242,1.555254866,0.744137044,1.491589744,0.86045976,1.110508673,1.497596029,0.67292005,0.752886219,1.675775348,0.532378018,0,1.424843042,0.886324545,0.872465689,1.593983245,0.919076262,0.959680335,0.891539492,1.169976552,1.219428878,1.249001945,1.255553554,1.111612275,1.33954009,0.722897854,1.942649516,1.859527885,1.920622733,9.625244032,1.824697141,1.824697141,1.905063602,1.028416871,1.593983245,1.266961411,1.700000085,1.484543709,2.294246078,5.320716638,2.346173852,1.683901419,1.735859108,1.856555513,0.809094934,1.135712123,2.027821168,1.458643852,1.397131116,1.607997522,1.43594029,0.96249616,1.436435781,1.069559899,0.751413594,1.680332779,1.186525927,0.885387356,0.728722894,1.162802447,1.459079768,1.270996162,1.133394474,0.685244927,1.213228915,1.413057291,1.35054652,0.895453171,0.854974399,1.355084594,1.684255313,1.730586157,1.270629164,1.342235252,1.167162379,0.754524176,0.891457538,1.670284429,1.459079768,0.884827497,0.927765255,0.766423115,1.161673157,1.684920296,1.684920296,1.382669773,0.978955578,1.002154475,1.597531598,1.499632439,1.035432987,1.09748126,1.09748126,1.047918784,0.998418532,1.274601714,1.032895305,1.516579632,1.457026167,2.217508815,0.106785428,1.70930988,1.646329243,1.960609363,2.198066822,2.03914559,1.999658475,1.999658475,0.886324545,1.608764334,1.059004507,1.069292275,1.872688032,1.043482988
ISSER Conference Hall Legon,0.599666126,0.169250741,0.615281582,0.82471513,0.650134397,0.505586322,0.564599478,0.136519447,0.68642246,0.154743192,0.571737889,0.335706382,0.572567289,0.756139179,0.907961836,0.590253124,0.946959795,1.424843042,0,0.609541282,0.744696018,1.669567917,0.929881081,1.033208163,1.013615021,0.556571168,0.824837325,0.936501697,0.871526096,0.996143639,1.10149806,0.730945198,1.991695277,2.008658366,2.277641715,9.897202971,0.481783322,0.481783322,0.511003813,2.424834367,1.669567917,1.252382611,1.693606424,0.336376394,1.007619414,5.740289683,1.257536287,0.261389124,0.312860492,0.431787338,0.94269395,0.388516144,0.836458395,0.337005033,0.565809955,0.345568498,0.085931553,0.590723375,0.483946136,0.35810374,0.801046228,0.546390766,0.245358636,0.608713745,0.809228987,0.279467305,0.599232318,0.549858995,0.462311682,0.873373854,0.289487488,0.608250609,0.559120242,0.640225931,0.670014694,0.152771135,0.428815379,0.775627423,0.567994782,0.476200982,0.267944601,0.911311011,0.534048791,0.489157733,0.599232318,0.579258321,0.497239947,0.943043989,0.314825894,0.743256915,0.743256915,0.081821884,0.748302424,0.45641428,0.417705196,0.295581996,0.99050335,0.419855001,0.419855001,0.838963842,1.138580057,1.45635138,0.471103471,1.495895412,1.395898291,1.853932029,1.357151775,0.865213984,1.541501994,1.738181301,1.692134107,1.752057218,1.473553672,1.473553672,0.609541282,0.305477548,0.542634424,0.555613419,2.239618378,0.407287205
Cedi Conference Centre Legon,0.009876046,0.778352066,0.717119088,1.420976561,0.081036678,0.775587826,0.524049719,0.720142486,0.309875369,0.632212079,0.294362989,0.410622403,0.631144084,0.335171572,0.30958989,0.797489086,0.362023687,0.886324545,0.609541282,0,0.173511441,1.26403199,0.39620229,0.511681597,0.465653994,0.313335187,0.500239436,0.592591295,0.555347401,0.553908356,0.755980538,0.168961686,1.623197977,1.603005939,1.816725039,9.546482861,1.078821473,1.078821473,1.120415601,1.914045914,1.26403199,0.826096115,1.323774008,0.599001438,1.59862126,5.322170927,1.784222647,0.866104755,0.915677569,1.021533329,0.363772499,0.254466141,1.147565098,0.572849594,0.53681837,0.725323068,0.591962963,0.094458419,0.558408977,0.280414901,0.191986755,0.797224889,0.428787667,0.002865454,0.19981253,0.433408647,0.601998414,0.412349441,0.248722676,0.263906467,0.344348437,0.562714903,0.491388847,0.058905548,0.065324491,0.499254407,0.799006438,0.880830123,0.417688058,0.465450725,0.345284093,0.313648793,0.246718137,0.784351049,0.601998414,0.387999778,0.243894749,0.351080086,0.301196165,0.834492168,0.834492168,0.545521413,0.258401937,0.3911047,0.711211105,0.617047428,0.509142196,0.501504308,0.501504308,0.388482419,0.62173472,0.985224472,0.151226094,1.110457095,1.014783796,1.66310989,0.80047057,0.889457337,1.198916251,1.469372595,1.566600814,1.515805373,1.343338658,1.343338658,0,0.731012514,0.186572087,0.204068062,1.773720469,0.205289318
Legon Hall Legon,0.180697495,0.909879771,0.713246271,1.532162754,0.100806485,0.811285678,0.514025822,0.840981074,0.44685061,0.739255362,0.45766635,0.581309284,0.628944104,0.450379509,0.168533377,0.813139206,0.345126008,0.872465689,0.744696018,0.173511441,0,1.096675599,0.222917063,0.338362174,0.292942175,0.304930393,0.385890833,0.459036364,0.435788797,0.393364615,0.610504122,0.248536047,1.458409517,1.433934223,1.643497281,9.377264341,1.223470021,1.223470021,1.253094456,1.896062192,1.096675599,0.660604018,1.160901728,0.662702107,1.747425851,5.149435484,1.949241839,0.991334127,1.038511033,1.134243993,0.199730825,0.360070202,1.164417603,0.635781347,0.5273926,0.796111662,0.712573204,0.154048014,0.577719841,0.444526491,0.123374765,0.825029285,0.590591413,0.176013698,0.147965221,0.599894973,0.587854819,0.403016297,0.309956876,0.188045816,0.459946444,0.54104083,0.481102423,0.118545663,0.114537495,0.616022999,0.858496359,0.85815371,0.400688877,0.484873257,0.493492452,0.171033946,0.415755882,0.825753133,0.587854819,0.551837496,0.416387896,0.198850868,0.429975877,0.81245652,0.81245652,0.672668981,0.121229082,0.564201796,0.76206762,0.691747275,0.341275638,0.675007486,0.675007486,0.240117488,0.448263756,0.812820399,0.275067799,0.947422421,0.853859767,1.529715125,0.77537073,0.842241063,1.042041702,1.322637566,1.449515517,1.37498012,1.230273571,1.230273571,0.173511441,0.812260482,0.221360405,0.221019147,1.600383339,0.360743326
Jubliee Hall Legon,1.269197974,1.794057748,1.191312855,2.240458715,1.183358767,1.380959902,1.126417559,1.699971302,1.534159393,1.577596925,1.554311459,1.641591789,1.173087482,1.521388471,1.041832088,1.305219335,1.282141374,1.593983245,1.669567917,1.26403199,1.096675599,0,0.880427322,0.771028905,0.835970613,1.123600369,0.846642639,0.73403509,0.798160349,0.712974734,0.56866299,1.32408097,0.367059209,0.342449424,0.625796429,8.28300168,2.122886801,2.122886801,2.095284955,2.396104742,0,0.438593715,0.119776369,1.396526507,2.631093233,4.078048527,2.925918376,1.838497194,1.868544222,1.907043437,0.958674681,1.327721729,1.504717808,1.379874584,1.129921762,1.497649594,1.599314123,1.202810576,1.226858393,1.494291336,1.159488817,1.358126889,1.618959162,1.266797782,1.177779637,1.642756711,1.124352334,1.119938547,1.238632994,1.152978407,1.406517858,1.093993988,1.122129243,1.205211657,1.210814694,1.516843179,1.496224223,1.161678631,1.101850067,1.201514547,1.499876723,1.03709042,1.51050965,1.409982877,1.124352334,1.648500917,1.506765243,0.997550396,1.411694732,1.149114038,1.149114038,1.587940775,1.009938463,1.651058168,1.409046977,1.446530848,0.755572776,1.753451267,1.753451267,0.883282605,0.673759423,0.322716195,1.302342009,0.176296212,0.274461885,0.714180903,1.492728077,1.041021485,0.208522656,0.434883153,0.809424051,0.533227645,0.727804796,0.727804796,1.26403199,1.543992826,1.1865097,1.165201512,0.595325683,1.405099739
Legon Hall Annex A Legon,0.403050139,1.088191555,0.753901399,1.679980293,0.319735538,0.89199632,0.568916177,1.010166633,0.653967548,0.898168848,0.677423493,0.800345964,0.679239319,0.644837365,0.184865658,0.87039791,0.449919209,0.919076262,0.929881081,0.39620229,0.222917063,0.880427322,0,0.115479351,0.085064436,0.406953611,0.31208939,0.330040959,0.339966545,0.206710408,0.441572798,0.444694506,1.244881868,1.21489748,1.420588392,9.157149556,1.411659085,1.411659085,1.427946208,1.911265669,0.880427322,0.45009637,0.950947038,0.782839191,1.937499624,4.92661029,2.158709344,1.161787816,1.205655072,1.288971645,0.111085886,0.542234726,1.208006997,0.757021417,0.581086649,0.916070807,0.885219526,0.358410282,0.658205985,0.659477614,0.281846514,0.895888595,0.801866145,0.398753026,0.302367852,0.815049025,0.628080945,0.478414524,0.469750798,0.29221618,0.640404855,0.577872046,0.54076584,0.339660856,0.336800476,0.788876515,0.963428082,0.864950705,0.467895975,0.577023487,0.69619158,0.181231808,0.637854098,0.912146597,0.628080945,0.771223506,0.639289185,0.155942891,0.621795512,0.822924587,0.822924587,0.852554785,0.181914493,0.787109944,0.862464613,0.821186004,0.136289164,0.897433829,0.897433829,0.147122757,0.225749694,0.590391427,0.476942225,0.738380871,0.649126346,1.360687455,0.813814248,0.817127121,0.842049412,1.135768754,1.304997943,1.196444353,1.09514016,1.09514016,0.39620229,0.942448841,0.387277983,0.374843349,1.377522861,0.572338113
Legon Hall Annex B Legon,0.518515504,1.188207439,0.802032936,1.765096551,0.43497497,0.954651243,0.630133943,1.107165998,0.763817766,0.992194743,0.791508224,0.914987338,0.734064352,0.750562716,0.274377587,0.923124447,0.531320812,0.959680335,1.033208163,0.511681597,0.338362174,0.771028905,0.115479351,0,0.072331207,0.494334552,0.33459582,0.312130197,0.344203608,0.157647769,0.379930738,0.553310089,1.136919393,1.102866596,1.305136207,9.043788745,1.514431241,1.514431241,1.525311282,1.925835741,0.771028905,0.349033596,0.846297779,0.86370909,2.040171586,4.811339182,2.269253872,1.258425498,1.300774812,1.37864948,0.190922258,0.648028046,1.248966154,0.838797594,0.641246199,0.994766307,0.984369765,0.471583069,0.726454333,0.773205996,0.388498149,0.954163694,0.914279549,0.514231803,0.406840717,0.928586336,0.680404744,0.552393266,0.57100852,0.386081956,0.744442426,0.63094106,0.605302521,0.455053474,0.452040502,0.888915187,1.035266892,0.89397145,0.539436492,0.652660349,0.806412069,0.269866025,0.752852805,0.976895511,0.680404744,0.885070371,0.754691807,0.233588452,0.729367244,0.854833381,0.854833381,0.954499817,0.287000727,0.902563955,0.933991407,0.905005288,0.086750293,1.012874309,1.012874309,0.207511803,0.110624529,0.475742758,0.588390746,0.635457847,0.550575392,1.282211347,0.853010486,0.831169485,0.745563417,1.046795522,1.242256016,1.112716644,1.040220301,1.040220301,0.511681597,1.024918269,0.492595325,0.477932804,1.262045605,0.685461279
Legon Hall Annex C Legon,0.473255648,1.172635692,0.82823188,1.764716022,0.392902421,0.971622963,0.647482652,1.095033437,0.702604332,0.9832192,0.736745411,0.874161624,0.755900228,0.685932221,0.206055716,0.946666805,0.45956374,0.891539492,1.013615021,0.465653994,0.292942175,0.835970613,0.085064436,0.072331207,0,0.491459448,0.372164053,0.367485441,0.39067529,0.220545644,0.449424081,0.49170231,1.202611266,1.164491858,1.356385506,9.102236704,1.495383132,1.495383132,1.512715433,1.866130684,0.835970613,0.419567474,0.914328724,0.866777497,2.021158512,4.863796474,2.238114276,1.246664252,1.290637929,1.373988718,0.122709502,0.625498944,1.280111551,0.841089571,0.659337411,0.999713642,0.969864217,0.436733424,0.739128263,0.735768527,0.326596002,0.974121666,0.879966628,0.468039178,0.343163182,0.891413201,0.703691921,0.560453702,0.554321823,0.317620561,0.724140884,0.653603271,0.620312747,0.411457812,0.403257053,0.873421904,1.045644249,0.931317499,0.54926325,0.659684186,0.77669661,0.201372347,0.701208461,0.992422491,0.703691921,0.829511839,0.70575446,0.163230558,0.704139291,0.890537065,0.890537065,0.936692201,0.266485862,0.854067726,0.944519787,0.90559102,0.144730958,0.966651964,0.966651964,0.220722731,0.164141999,0.533452915,0.55683768,0.704586166,0.621298708,1.354510111,0.785051951,0.875965329,0.816547956,1.118790894,1.313090391,1.185016212,1.109566164,1.109566164,0.465653994,1.026722022,0.471022781,0.459207971,1.312501771,0.649884838
Akuafo Hall Legon,0.309216115,0.70139519,0.413364321,1.273373083,0.27052102,0.50774928,0.21504461,0.616261558,0.609357647,0.4989764,0.558986274,0.544419026,0.327705573,0.644756471,0.462300066,0.508605462,0.637794951,1.169976552,0.556571168,0.313335187,0.304930393,1.123600369,0.406953611,0.494334552,0.491459448,0,0.278683281,0.39129674,0.331477389,0.439874785,0.562629828,0.478079217,1.460169442,1.465314144,1.723670365,9.386086823,1.031443629,1.031443629,1.033638488,2.196781227,1.123600369,0.69800803,1.158608837,0.376758849,1.555223872,5.20119,1.812084412,0.766608069,0.807652062,0.884507381,0.458730981,0.211428291,0.860382384,0.350621469,0.228274548,0.510674772,0.497724241,0.220489587,0.272990804,0.4014796,0.419979259,0.520290969,0.503577964,0.315481128,0.441728083,0.533105689,0.29217641,0.101645375,0.123253279,0.491225871,0.282917501,0.250273092,0.18176947,0.282584239,0.321632031,0.405752012,0.563773913,0.569975297,0.104658848,0.181187892,0.382321165,0.463432499,0.499802384,0.523571755,0.29217641,0.641464867,0.476669624,0.478450302,0.292196597,0.523623665,0.523623665,0.475160449,0.235558969,0.591330181,0.464474297,0.414241761,0.440037371,0.669583025,0.669583025,0.289698264,0.592870243,0.899788994,0.231350254,0.953396793,0.853123149,1.411572892,1.075819146,0.57651325,1.014342654,1.248454343,1.29195199,1.280598654,1.066417573,1.066417573,0.313335187,0.535592147,0.128314737,0.10926767,1.684919652,0.321456582
Akuafo Hall Annex A Legon,0.501161217,0.957671768,0.472051291,1.476764145,0.425759618,0.636614804,0.32021533,0.866645717,0.809044895,0.74483327,0.787434645,0.815693629,0.411082109,0.825606364,0.466836031,0.595311694,0.715862363,1.219428878,0.824837325,0.500239436,0.385890833,0.846642639,0.31208939,0.33459582,0.372164053,0.278683281,0,0.112818265,0.056277572,0.209612744,0.284065086,0.629175732,1.181540899,1.18770645,1.453289196,9.108393617,1.288788828,1.288788828,1.276229692,2.221628044,0.846642639,0.430003239,0.879928283,0.582141711,1.807028843,4.923254382,2.082353262,1.011978166,1.047711816,1.106601111,0.414925959,0.487929973,0.914682063,0.560758254,0.328922226,0.703379615,0.758052032,0.413725747,0.423787619,0.669454566,0.503181439,0.631085496,0.780948611,0.503048348,0.528282503,0.808777063,0.356086532,0.279234606,0.398354061,0.549526517,0.560941133,0.309082456,0.303316448,0.446858736,0.472182158,0.672124625,0.729484391,0.56010175,0.261764833,0.371540383,0.660039427,0.46502711,0.732783228,0.661250946,0.356086532,0.877815963,0.717733973,0.454833711,0.570280862,0.52039194,0.52039194,0.743031582,0.264673106,0.8483189,0.629915659,0.629328396,0.251600566,0.93695707,0.93695707,0.171731818,0.398066479,0.64231004,0.483224124,0.675249472,0.574936169,1.163841053,1.115969259,0.505348532,0.736599062,0.981481257,1.068511085,1.021124396,0.847000459,0.847000459,0.500239436,0.741493859,0.363471337,0.34012882,1.415841833,0.583549413
